ERROR: 05-30 09:39:58: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbf\xcc', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:39:59: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): LLC LLC(oui=12, type=267, data='\x00\x00\x00\x00\x00\x80\x00\x00%d\x1c)\xd3\x00\x00\x00\x13\x80\x01\x00\x07}\xbf\x07\x80\x82\x81\x01\x00\x14\x00\x02\x00\x0f\x00\x00\x00\x00\x00\x02\x00\x01') src_mac:00:07:7d:bf:07:b0 dst_mac:01:00:0c:cc:cc:cd

ERROR: 05-30 09:39:59: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='t\x86z\xe3\xc3\xe2', spa='\xc0\xa8\xbf\xdc', tha='\x00\x00\x00\x00\x00\x00', tpa='\xc0\xa8\xbf\xdc', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:74:86:7a:e3:c3:e2 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:39:59: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='t\x86z\xdc_\xa8', spa='\xc0\xa8\xbf\x1e', tha='\x00\x00\x00\x00\x00\x00', tpa='\xc0\xa8\xbf\x1e', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:74:86:7a:dc:5f:a8 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:39:59: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbff', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff

ERROR: 05-30 09:39:59: print_pcap.py:312 * 139691079739200 No Valid IP Packet(not v4 or v6): ARP ARP(sha='\x00\x161\xf1\x914', spa='=\xbc\xbfu', tha='\x00\x00\x00\x00\x00\x00', tpa='=\xbc\xbfh', data='\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00') src_mac:00:16:31:f1:91:34 dst_mac:ff:ff:ff:ff:ff:ff
